instrument,plate,seal,media,calibrant,protein,replicate,dilution,volume,well
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,1,225,A1
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.5,225,A2
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.25,225,A3
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.125,225,A4
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.0625,225,A5
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.03125,225,A6
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.015625,225,A7
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.0078125,225,A8
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.00390625,225,A9
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.001953125,225,A10
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,1,0.000976563,225,A11
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,none,1,,225,A12
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,1,225,B1
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.5,225,B2
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.25,225,B3
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.125,225,B4
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.0625,225,B5
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.03125,225,B6
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.015625,225,B7
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.0078125,225,B8
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.00390625,225,B9
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.001953125,225,B10
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,mTagBFP2,2,0.000976563,225,B11
spark1,uvclear,noseal,T5N15_pi,mTagBFP2,none,2,,225,B12
spark1,uvclear,noseal,,,,,,,C1
spark1,uvclear,noseal,,,,,,,C2
spark1,uvclear,noseal,,,,,,,C3
spark1,uvclear,noseal,,,,,,,C4
spark1,uvclear,noseal,,,,,,,C5
spark1,uvclear,noseal,,,,,,,C6
spark1,uvclear,noseal,,,,,,,C7
spark1,uvclear,noseal,,,,,,,C8
spark1,uvclear,noseal,,,,,,,C9
spark1,uvclear,noseal,,,,,,,C10
spark1,uvclear,noseal,,,,,,,C11
spark1,uvclear,noseal,,,,,,,C12
spark1,uvclear,noseal,,,,,,,D1
spark1,uvclear,noseal,,,,,,,D2
spark1,uvclear,noseal,,,,,,,D3
spark1,uvclear,noseal,,,,,,,D4
spark1,uvclear,noseal,,,,,,,D5
spark1,uvclear,noseal,,,,,,,D6
spark1,uvclear,noseal,,,,,,,D7
spark1,uvclear,noseal,,,,,,,D8
spark1,uvclear,noseal,,,,,,,D9
spark1,uvclear,noseal,,,,,,,D10
spark1,uvclear,noseal,,,,,,,D11
spark1,uvclear,noseal,,,,,,,D12
spark1,uvclear,noseal,,,,,,,E1
spark1,uvclear,noseal,,,,,,,E2
spark1,uvclear,noseal,,,,,,,E3
spark1,uvclear,noseal,,,,,,,E4
spark1,uvclear,noseal,,,,,,,E5
spark1,uvclear,noseal,,,,,,,E6
spark1,uvclear,noseal,,,,,,,E7
spark1,uvclear,noseal,,,,,,,E8
spark1,uvclear,noseal,,,,,,,E9
spark1,uvclear,noseal,,,,,,,E10
spark1,uvclear,noseal,,,,,,,E11
spark1,uvclear,noseal,,,,,,,E12
spark1,uvclear,noseal,,,,,,,F1
spark1,uvclear,noseal,,,,,,,F2
spark1,uvclear,noseal,,,,,,,F3
spark1,uvclear,noseal,,,,,,,F4
spark1,uvclear,noseal,,,,,,,F5
spark1,uvclear,noseal,,,,,,,F6
spark1,uvclear,noseal,,,,,,,F7
spark1,uvclear,noseal,,,,,,,F8
spark1,uvclear,noseal,,,,,,,F9
spark1,uvclear,noseal,,,,,,,F10
spark1,uvclear,noseal,,,,,,,F11
spark1,uvclear,noseal,,,,,,,F12
spark1,uvclear,noseal,,,,,,,G1
spark1,uvclear,noseal,,,,,,,G2
spark1,uvclear,noseal,,,,,,,G3
spark1,uvclear,noseal,,,,,,,G4
spark1,uvclear,noseal,,,,,,,G5
spark1,uvclear,noseal,,,,,,,G6
spark1,uvclear,noseal,,,,,,,G7
spark1,uvclear,noseal,,,,,,,G8
spark1,uvclear,noseal,,,,,,,G9
spark1,uvclear,noseal,,,,,,,G10
spark1,uvclear,noseal,,,,,,,G11
spark1,uvclear,noseal,,,,,,,G12
spark1,uvclear,noseal,,,,,,,H1
spark1,uvclear,noseal,,,,,,,H2
spark1,uvclear,noseal,,,,,,,H3
spark1,uvclear,noseal,,,,,,,H4
spark1,uvclear,noseal,,,,,,,H5
spark1,uvclear,noseal,,,,,,,H6
spark1,uvclear,noseal,,,,,,,H7
spark1,uvclear,noseal,,,,,,,H8
spark1,uvclear,noseal,,,,,,,H9
spark1,uvclear,noseal,,,,,,,H10
spark1,uvclear,noseal,,,,,,,H11
spark1,uvclear,noseal,,,,,,,H12